year,local_day,LOCAL_HOUR_END,tot_solar_mwh,_FREQ_,,
2011,8-Jan-11,05,,,,
2011,8-Jan-11,06,,,,
2011,8-Jan-11,07,,,,
2011,8-Jan-11,08,,,,
2011,8-Jan-11,09,,,,
2011,8-Jan-11,10,,,,
2011,8-Jan-11,11,0.03,7,,
2011,8-Jan-11,12,0.06,7,,
2011,8-Jan-11,13,0.106,8,,
2011,8-Jan-11,14,0.116,6,,
2011,8-Jan-11,15,0.055,5,,
2011,8-Jan-11,16,,,,
2011,8-Jan-11,17,,,,
2011,8-Jan-11,18,,,,
2011,8-Jan-11,19,,,,
2011,8-Jan-11,20,,,,
2011,8-Jan-11,21,,,,
2011,8-Jan-11,22,,,,
2011,8-Jan-11,23,,,,
2011,8-Jan-11,24,,,,
2011,9-Jan-11,01,,,,
2011,9-Jan-11,02,,,,
2011,9-Jan-11,03,,,,
2011,9-Jan-11,04,,,,
2011,9-Jan-11,05,,,,
2011,9-Jan-11,06,,,,
2011,9-Jan-11,07,,,,
2011,9-Jan-11,08,,,,
2011,9-Jan-11,09,,,,
2011,9-Jan-11,10,0.038,5,,
2011,9-Jan-11,11,0.205,7,,
2011,9-Jan-11,12,0.337,9,,
2011,9-Jan-11,13,0.288,9,,
2011,9-Jan-11,14,0.227,9,,
2011,9-Jan-11,15,0.142,9,,
2011,9-Jan-11,16,0.035,6,,
2011,9-Jan-11,17,,,,
2011,9-Jan-11,18,,,,
2011,9-Jan-11,19,,,,
2011,9-Jan-11,20,,,,
2011,9-Jan-11,21,,,,
2011,9-Jan-11,22,,,,
2011,9-Jan-11,23,,,,
2011,9-Jan-11,24,,,,
2011,10-Jan-11,01,,,,
2011,10-Jan-11,02,,,,
2011,10-Jan-11,03,,,,
2011,10-Jan-11,04,,,,
2011,10-Jan-11,05,,,,
2011,10-Jan-11,06,,,,
2011,10-Jan-11,07,,,,
2011,10-Jan-11,08,,,,
2011,10-Jan-11,09,0.108,4,,
2011,10-Jan-11,10,0.348,7,,
2011,10-Jan-11,11,0.452,10,,
2011,10-Jan-11,12,0.599,13,,
2011,10-Jan-11,13,0.695,14,,
2011,10-Jan-11,14,0.642,14,,
2011,10-Jan-11,15,0.372,11,,
2011,10-Jan-11,16,0.114,6,,
2011,10-Jan-11,17,,,,
2011,10-Jan-11,18,,,,
2011,10-Jan-11,19,,,,
2011,10-Jan-11,20,,,,
2011,10-Jan-11,21,,,,
2011,10-Jan-11,22,,,,
2011,10-Jan-11,23,,,,
2011,10-Jan-11,24,,,,
2011,11-Jan-11,01,,,,
2011,11-Jan-11,02,,,,
2011,11-Jan-11,03,,,,
2011,11-Jan-11,04,,,,
2011,11-Jan-11,05,,,,
2011,11-Jan-11,06,,,,
2011,11-Jan-11,07,,,,
2011,11-Jan-11,08,,,,
2011,11-Jan-11,09,0.103,5,,
2011,11-Jan-11,10,0.298,9,,
2011,11-Jan-11,11,0.411,12,,
2011,11-Jan-11,12,0.452,13,,
2011,11-Jan-11,13,0.513,14,,
2011,11-Jan-11,14,0.524,12,,
2011,11-Jan-11,15,0.261,11,,
2011,11-Jan-11,16,0.061,5,,
2011,11-Jan-11,17,,,,
2011,11-Jan-11,18,,,,
2011,11-Jan-11,19,,,,
2011,11-Jan-11,20,,,,
2011,11-Jan-11,21,,,,
2011,11-Jan-11,22,,,,
2011,11-Jan-11,23,,,,
2011,11-Jan-11,24,,,,
2011,12-Jan-11,01,,,,
2011,12-Jan-11,02,,,,
2011,12-Jan-11,03,,,,
2011,12-Jan-11,04,,,,
2011,12-Jan-11,05,,,,
2011,12-Jan-11,06,,,,
2011,12-Jan-11,07,,,,
2011,12-Jan-11,08,,,,
2011,12-Jan-11,09,,,,
2011,12-Jan-11,10,,,,
2011,12-Jan-11,11,,,,
2011,12-Jan-11,12,,,,
2011,12-Jan-11,13,,,,
2011,12-Jan-11,14,,,,
2011,12-Jan-11,15,,,,
2011,12-Jan-11,16,,,,
2011,12-Jan-11,17,,,,
2011,12-Jan-11,18,,,,
2011,12-Jan-11,19,,,,
2011,12-Jan-11,20,,,,
2011,12-Jan-11,21,,,,
2011,12-Jan-11,22,,,,
2011,12-Jan-11,23,,,,
2011,12-Jan-11,24,,,,
2011,13-Jan-11,01,,,,
2011,13-Jan-11,02,,,,
2011,13-Jan-11,03,,,,
2011,13-Jan-11,04,,,,
2011,13-Jan-11,05,,,,
2011,13-Jan-11,06,,,,
2011,13-Jan-11,07,,,,
2011,13-Jan-11,08,,,,
2011,13-Jan-11,09,,,,
2011,13-Jan-11,10,,,,
2011,13-Jan-11,11,,,,
2011,13-Jan-11,12,,,,
2011,13-Jan-11,13,0.219,4,,
2011,13-Jan-11,14,0.255,4,,
2011,13-Jan-11,15,,,,
2011,13-Jan-11,16,,,,
2011,13-Jan-11,17,,,,
2011,13-Jan-11,18,,,,
2011,13-Jan-11,19,,,,
2011,13-Jan-11,20,,,,
2011,13-Jan-11,21,,,,
2011,13-Jan-11,22,,,,
2011,13-Jan-11,23,,,,
2011,13-Jan-11,24,,,,
2011,14-Jan-11,01,,,,
2011,14-Jan-11,02,,,,
2011,14-Jan-11,03,,,,
2011,14-Jan-11,04,,,,
2011,14-Jan-11,05,,,,
2011,14-Jan-11,06,,,,
2011,14-Jan-11,07,,,,
2011,14-Jan-11,08,,,,
2011,14-Jan-11,09,,,,
2011,14-Jan-11,10,,,,
2011,14-Jan-11,11,,,,
2011,14-Jan-11,12,,,,
2011,14-Jan-11,13,,,,
2011,14-Jan-11,14,,,,
2011,14-Jan-11,15,,,,
2011,14-Jan-11,16,,,,
2011,14-Jan-11,17,,,,
2011,14-Jan-11,18,,,,
2011,14-Jan-11,19,,,,
2011,14-Jan-11,20,,,,
2011,14-Jan-11,21,,,,
2011,14-Jan-11,22,,,,
2011,14-Jan-11,23,,,,
2011,14-Jan-11,24,,,,
2011,15-Jan-11,01,,,,
2011,15-Jan-11,02,,,,
2011,15-Jan-11,03,,,,
2011,15-Jan-11,04,,,,
2011,15-Jan-11,05,,,,
2011,15-Jan-11,06,,,,
2011,15-Jan-11,07,,,,
2011,15-Jan-11,08,,,,
2011,15-Jan-11,09,,,,
2011,15-Jan-11,10,0.147,4,,
2011,15-Jan-11,11,0.236,5,,
2011,15-Jan-11,12,0.297,5,,
2011,15-Jan-11,13,0.296,4,,
2011,15-Jan-11,14,0.2,4,,
2011,15-Jan-11,15,,,,
2011,15-Jan-11,16,,,,
2011,15-Jan-11,17,,,,
2011,15-Jan-11,18,,,,
2011,15-Jan-11,19,,,,
2011,15-Jan-11,20,,,,
2011,15-Jan-11,21,,,,
2011,15-Jan-11,22,,,,
2011,15-Jan-11,23,,,,
2011,15-Jan-11,24,,,,
2011,16-Jan-11,01,,,,
2011,16-Jan-11,02,,,,
2011,16-Jan-11,03,,,,
2011,16-Jan-11,04,,,,
2011,16-Jan-11,05,,,,
2011,16-Jan-11,06,,,,
2011,16-Jan-11,07,,,,
2011,16-Jan-11,08,,,,
2011,16-Jan-11,09,0.079,4,,
2011,16-Jan-11,10,0.257,6,,
2011,16-Jan-11,11,0.342,6,,
2011,16-Jan-11,12,0.361,6,,
2011,16-Jan-11,13,0.392,5,,
2011,16-Jan-11,14,0.313,6,,
2011,16-Jan-11,15,0.192,4,,
2011,16-Jan-11,16,,,,
2011,16-Jan-11,17,,,,
2011,16-Jan-11,18,,,,
2011,16-Jan-11,19,,,,
2011,16-Jan-11,20,,,,
2011,16-Jan-11,21,,,,
2011,16-Jan-11,22,,,,
2011,16-Jan-11,23,,,,
2011,16-Jan-11,24,,,,
2011,17-Jan-11,01,,,,
2011,17-Jan-11,02,,,,
2011,17-Jan-11,03,,,,
2011,17-Jan-11,04,,,,
2011,17-Jan-11,05,,,,
2011,17-Jan-11,06,,,,
2011,17-Jan-11,07,,,,
2011,17-Jan-11,08,,,,
2011,17-Jan-11,09,,,,
2011,17-Jan-11,10,0.272,6,,
2011,17-Jan-11,11,0.427,6,,
2011,17-Jan-11,12,0.556,6,,
2011,17-Jan-11,13,0.545,6,,
2011,17-Jan-11,14,0.468,5,,
2011,17-Jan-11,15,0.274,4,,
2011,17-Jan-11,16,0.099,4,,
2011,17-Jan-11,17,,,,
2011,17-Jan-11,18,,,,
2011,17-Jan-11,19,,,,
2011,17-Jan-11,20,,,,
2011,17-Jan-11,21,,,,
2011,17-Jan-11,22,,,,
2011,17-Jan-11,23,,,,
2011,17-Jan-11,24,,,,
2011,18-Jan-11,01,,,,
2011,18-Jan-11,02,,,,
2011,18-Jan-11,03,,,,
2011,18-Jan-11,04,,,,
2011,18-Jan-11,05,,,,
2011,18-Jan-11,06,,,,
2011,18-Jan-11,07,,,,
2011,18-Jan-11,08,,,,
2011,18-Jan-11,09,,,,
2011,18-Jan-11,10,,,,
2011,18-Jan-11,11,,,,
2011,18-Jan-11,12,,,,
2011,18-Jan-11,13,,,,
2011,18-Jan-11,14,,,,
2011,18-Jan-11,15,,,,
2011,18-Jan-11,16,,,,
2011,18-Jan-11,17,,,,
2011,18-Jan-11,18,,,,
2011,18-Jan-11,19,,,,
2011,18-Jan-11,20,,,,
2011,18-Jan-11,21,,,,
2011,18-Jan-11,22,,,,
2011,18-Jan-11,23,,,,
2011,18-Jan-11,24,,,,
2011,19-Jan-11,01,,,,
2011,19-Jan-11,02,,,,
2011,19-Jan-11,03,,,,
2011,19-Jan-11,04,,,,
2011,19-Jan-11,05,,,,
2011,19-Jan-11,06,,,,
2011,19-Jan-11,07,,,,
2011,19-Jan-11,08,,,,
2011,19-Jan-11,09,,,,
2011,19-Jan-11,10,,,,
2011,19-Jan-11,11,,,,
2011,19-Jan-11,12,,,,
2011,19-Jan-11,13,,,,
2011,19-Jan-11,14,,,,
2011,19-Jan-11,15,,,,
2011,19-Jan-11,16,,,,
2011,19-Jan-11,17,,,,
2011,19-Jan-11,18,,,,
2011,19-Jan-11,19,,,,
2011,19-Jan-11,20,,,,
2011,19-Jan-11,21,,,,
2011,19-Jan-11,22,,,,
2011,19-Jan-11,23,,,,
2011,19-Jan-11,24,,,,
2011,20-Jan-11,01,,,,
2011,20-Jan-11,02,,,,
2011,20-Jan-11,03,,,,
2011,20-Jan-11,04,,,,
2011,20-Jan-11,05,,,,
2011,20-Jan-11,06,,,,
2011,20-Jan-11,07,,,,
2011,20-Jan-11,08,,,,
2011,20-Jan-11,09,,,,
2011,20-Jan-11,10,,,,
2011,20-Jan-11,11,,,,
2011,20-Jan-11,12,,,,
2011,20-Jan-11,13,,,,
2011,20-Jan-11,14,,,,
2011,20-Jan-11,15,,,,
2011,20-Jan-11,16,,,,
2011,20-Jan-11,17,,,,
2011,20-Jan-11,18,,,,
2011,20-Jan-11,19,,,,
2011,20-Jan-11,20,,,,
2011,20-Jan-11,21,,,,
2011,20-Jan-11,22,,,,
2011,20-Jan-11,23,,,,
2011,20-Jan-11,24,,,,
2011,21-Jan-11,01,,,,
2011,21-Jan-11,02,,,,
2011,21-Jan-11,03,,,,
2011,21-Jan-11,04,,,,
2011,21-Jan-11,05,,,,
2011,21-Jan-11,06,,,,
2011,21-Jan-11,07,,,,
2011,21-Jan-11,08,,,,
2011,21-Jan-11,09,,,,
2011,21-Jan-11,10,,,,
2011,21-Jan-11,11,,,,
2011,21-Jan-11,12,,,,
2011,21-Jan-11,13,,,,
2011,21-Jan-11,14,,,,
2011,21-Jan-11,15,,,,
2011,21-Jan-11,16,,,,
2011,21-Jan-11,17,,,,
2011,21-Jan-11,18,,,,
2011,21-Jan-11,19,,,,
2011,21-Jan-11,20,,,,
2011,21-Jan-11,21,,,,
2011,21-Jan-11,22,,,,
2011,21-Jan-11,23,,,,
2011,21-Jan-11,24,,,,
2011,22-Jan-11,01,,,,
2011,22-Jan-11,02,,,,
2011,22-Jan-11,03,,,,
2011,22-Jan-11,04,,,,
2011,22-Jan-11,05,,,,
2011,22-Jan-11,06,,,,
2011,22-Jan-11,07,,,,
2011,22-Jan-11,08,,,,
2011,22-Jan-11,09,,,,
2011,22-Jan-11,10,0.153,4,,
2011,22-Jan-11,11,0.222,5,,
2011,22-Jan-11,12,0.245,5,,
2011,22-Jan-11,13,0.243,5,,
2011,22-Jan-11,14,0.165,5,,
2011,22-Jan-11,15,0.066,4,,
2011,22-Jan-11,16,,,,
2011,22-Jan-11,17,,,,
2011,22-Jan-11,18,,,,
2011,22-Jan-11,19,,,,
2011,22-Jan-11,20,,,,
2011,22-Jan-11,21,,,,
2011,22-Jan-11,22,,,,
2011,22-Jan-11,23,,,,
2011,22-Jan-11,24,,,,
2011,23-Jan-11,01,,,,
2011,23-Jan-11,02,,,,
2011,23-Jan-11,03,,,,
2011,23-Jan-11,04,,,,
2011,23-Jan-11,05,,,,
2011,23-Jan-11,06,,,,
2011,23-Jan-11,07,,,,
2011,23-Jan-11,08,,,,
2011,23-Jan-11,09,,,,
2011,23-Jan-11,10,0.117,4,,
2011,23-Jan-11,11,0.306,5,,
2011,23-Jan-11,12,0.334,5,,
2011,23-Jan-11,13,0.333,5,,
2011,23-Jan-11,14,0.301,4,,
2011,23-Jan-11,15,0.124,4,,
2011,23-Jan-11,16,,,,
2011,23-Jan-11,17,,,,
2011,23-Jan-11,18,,,,
2011,23-Jan-11,19,,,,
2011,23-Jan-11,20,,,,
2011,23-Jan-11,21,,,,
2011,23-Jan-11,22,,,,
2011,23-Jan-11,23,,,,
2011,23-Jan-11,24,,,,
2011,24-Jan-11,01,,,,
