year,LOCAL_DAY,LOCAL_HOUR_END,METERED_MW,_FREQ_
2011,1/8/11,03,20.076,
2011,1/8/11,04,18.408,
2011,1/8/11,05,14.348,
2011,1/8/11,06,19.172,
2011,1/8/11,07,18.808,
2011,1/8/11,08,18.73,
2011,1/8/11,09,17.265,
2011,1/8/11,10,10.124,
2011,1/8/11,11,4.796,
2011,1/8/11,12,3.601,
2011,1/8/11,13,5.384,
2011,1/8/11,14,8.653,
2011,1/8/11,15,13.527,
2011,1/8/11,16,12.093,
2011,1/8/11,17,16.014,
2011,1/8/11,18,21.062,
2011,1/8/11,19,33.448,
2011,1/8/11,20,35.035,
2011,1/8/11,21,27.746,
2011,1/8/11,22,28.596,
2011,1/8/11,23,35.347,
2011,1/8/11,24,41.775,
2011,1/9/11,01,26.365,
2011,1/9/11,02,31.66,
2011,1/9/11,03,37.883,
2011,1/9/11,04,50.672,
2011,1/9/11,05,63.343,
2011,1/9/11,06,65.235,
2011,1/9/11,07,88.478,
2011,1/9/11,08,114.539,
2011,1/9/11,09,118.54,
2011,1/9/11,10,140.539,
2011,1/9/11,11,149.249,
2011,1/9/11,12,146.236,
2011,1/9/11,13,154.99,
2011,1/9/11,14,176.846,
2011,1/9/11,15,182.228,
2011,1/9/11,16,182.158,
2011,1/9/11,17,178.209,
2011,1/9/11,18,170.193,
2011,1/9/11,19,178.35,
2011,1/9/11,20,176.085,
2011,1/9/11,21,194.267,
2011,1/9/11,22,200.024,
2011,1/9/11,23,204.736,
2011,1/9/11,24,199.514,
2011,1/10/11,01,195.404,
2011,1/10/11,02,189.735,
2011,1/10/11,03,182.036,
2011,1/10/11,04,183.924,
2011,1/10/11,05,194.639,
2011,1/10/11,06,186.12,
2011,1/10/11,07,201.71,
2011,1/10/11,08,198.283,
2011,1/10/11,09,193.132,
2011,1/10/11,10,189.867,
2011,1/10/11,11,190.02,
2011,1/10/11,12,193.409,
2011,1/10/11,13,206.079,
2011,1/10/11,14,170.55,
2011,1/10/11,15,169.341,
2011,1/10/11,16,208.392,
2011,1/10/11,17,215.693,
2011,1/10/11,18,207.982,
2011,1/10/11,19,207.321,
2011,1/10/11,20,213.165,
2011,1/10/11,21,209.586,
2011,1/10/11,22,185.164,
2011,1/10/11,23,158.615,
2011,1/10/11,24,122.872,
2011,1/11/11,01,127.335,
2011,1/11/11,02,134.999,
2011,1/11/11,03,141.95,
2011,1/11/11,04,134.217,
2011,1/11/11,05,111.302,
2011,1/11/11,06,88.264,
2011,1/11/11,07,68.184,
2011,1/11/11,08,55.568,
2011,1/11/11,09,31.47,
2011,1/11/11,10,21.193,
2011,1/11/11,11,9.392,
2011,1/11/11,12,9.076,
2011,1/11/11,13,6, (interpolated)
2011,1/11/11,14,6, (interpolated)
2011,1/11/11,15,6, (interpolated)
2011,1/11/11,16,6, (interpolated)
2011,1/11/11,17,6, (interpolated)
2011,1/11/11,18,6, (interpolated)
2011,1/11/11,19,6, (interpolated)
2011,1/11/11,20,4.516,
2011,1/11/11,21,11.548,
2011,1/11/11,22,20.863,
2011,1/11/11,23,25.445,
2011,1/11/11,24,42.289,
2011,1/12/11,01,37.841,
2011,1/12/11,02,39.411,
2011,1/12/11,03,48.294,
2011,1/12/11,04,52.128,
2011,1/12/11,05,49.792,
2011,1/12/11,06,43.606,
2011,1/12/11,07,39.501,
2011,1/12/11,08,50.831,
2011,1/12/11,09,75.641,
2011,1/12/11,10,89.587,
2011,1/12/11,11,107.81,
2011,1/12/11,12,114.82,
2011,1/12/11,13,117.671,
2011,1/12/11,14,120.059,
2011,1/12/11,15,123,
2011,1/12/11,16,130.401,
2011,1/12/11,17,137.019,
2011,1/12/11,18,144.569,
2011,1/12/11,19,146.019,
2011,1/12/11,20,141.546,
2011,1/12/11,21,136.746,
2011,1/12/11,22,129.064,
2011,1/12/11,23,121.891,
2011,1/12/11,24,134.428,
2011,1/13/11,01,142.639,
2011,1/13/11,02,146.135,
2011,1/13/11,03,149.888,
2011,1/13/11,04,144.299,
2011,1/13/11,05,140.272,
2011,1/13/11,06,146.014,
2011,1/13/11,07,155.736,
2011,1/13/11,08,170.084,
2011,1/13/11,09,158.769,
2011,1/13/11,10,143.879,
2011,1/13/11,11,142.148,
2011,1/13/11,12,140.349,
2011,1/13/11,13,138.167,
2011,1/13/11,14,129.827,
2011,1/13/11,15,125.259,
2011,1/13/11,16,125.947,
2011,1/13/11,17,116.126,
2011,1/13/11,18,112.47,
2011,1/13/11,19,104.919,
2011,1/13/11,20,106.144,
2011,1/13/11,21,105.871,
2011,1/13/11,22,105.322,
2011,1/13/11,23,98.168,
2011,1/13/11,24,81.614,
2011,1/14/11,01,54.968,
2011,1/14/11,02,43.499,
2011,1/14/11,03,49.567,
2011,1/14/11,04,47.064,
2011,1/14/11,05,46.379,
2011,1/14/11,06,40.937,
2011,1/14/11,07,36.463,
